placa_reboque,chassi,renavam,sub_categoria,marca,consulta,validade,status,referencia
ATL6G06,9ADF1473BBM337384,00340289996,BAU FRÍGORIFICO,SR/RANDON SR FG,172132402518/07/2024,173682360014/01/2025,VENCIDA,
ATL7I88,9ADF1473BBM338745,00340288337,BAU FRÍGORIFICO,SR/RANDON SR FG,173090988006/11/2024,174650039905/05/2025,VIGENTE,1536
ATL8I18,9ADF1473BCM342117,00370002024,BAU FRÍGORIFICO,SR,171234753705/04/2024,174382200005/04/2025,VIGENTE,BMGTRA_661053F1665A1_ATL8I18
ATL9J22,9ADF1473BCM342999,0371231396,BAU FRÍGORIFICO,SR/RANDON SR FG,173073524504/11/2024,174632759903/05/2025,VIGENTE,2456
ATL9J94,9ADF1473BCM344436,00378822802,BAU FRÍGORIFICO,2012,173757195422/01/2025,175315319921/07/2025,VIGENTE,9875
AXC0228,9A9CFF393D1DV8850,00564663549,BAU FRÍGORIFICO,SR/IBIPORA SR3E FRIG,171580514315/05/2024,174727800015/05/2025,VIGENTE,BMGTRA_6643AAA75DC2B_AXC0228
AXX1C28,9A9FR389ECDW8454,00568426770,BAU FRÍGORIFICO,SR/RANDON SR FR,171269103509/04/2024,174416760009/04/2025,VIGENTE,BMGTRA_66159503B9D35_AXX1C28
AXX1C38,9A9FR389ECDW8460,00568429184,BAU FRÍGORIFICO,SR/RANDON SR FG,173712997717/01/2025,175272119916/07/2025,VIGENTE,9657
AXX1C48,9A9FR3893ECDW8388,00575483075,BAU FRÍGORIFICO,SR/RANDON SR FG,171528596709/05/2024,174675960009/05/2025,VIGENTE,BMGTRA_663D11869ABCD_
AXX1C52,9A0FR3893ECDW8429,00594735548,BAU FRÍGORIFICO,SR/RANDON SR FG,173651532210/01/2025,175211639909/07/2025,VIGENTE,6958
AXX1C58,9A9FR3893ECDW8530,00575664312,BAU FRÍGORIFICO,SR/RANDON SR FG,173748543021/01/2025,175306679920/07/2025,VIGENTE,9658
AXX1C62,9A9FR389ECDW8621,0059735351,BAU FRÍGORIFICO,SR/RADON SR FG,171260002808/04/2024,174408120008/04/2025,VIGENTE,BMGTRA_66143133137F8_AXX1C62
BAY9G36,9ADF1473GG001706,01105601932,BAU FRÍGORIFICO,SR,172087982313/07/2024,173639160009/01/2025,VENCIDA,
BBK6E37,9ADF1473HHC002700,01122415661,BAU FRÍGORIFICO,SR/RANDON SR FG,173754699722/01/2025,175315319921/07/2025,VIGENTE,9658
BBK6E38,9ADF147HHC002698,01122414487,BAU FRÍGORIFICO,SR,172478507327/08/2024,175626360027/08/2025,VIGENTE,BMGTRA_66CCDD458265A_
BBN3I96,9ADF1473HHC002889,01126966549,BAU FRÍGORIFICO,SR,172112592816/07/2024,175263480016/07/2025,VIGENTE,BMGTRA_6695CAB15CAEA_
BBN7B81,9ADF1473HHC002890,01127562867,NÃO ESPECIFICADO,SR/RANDON SR FG,171768157806/06/2024,174917880006/06/2025,VIGENTE,BMGTRA_6661BB95D06E2_BBN7B81
BBT3I19,9ADF1473HJC003480,01137075063,BAU FRÍGORIFICO,SR,173712097317/01/2025,175272119916/07/2025,VIGENTE,9658
BCK4C55,9ADF1473JJC005054,01163870266,BAU FRÍGORIFICO,RANDON,173644366409/01/2025,175202999908/07/2025,VIGENTE,9658
BCK4C57,9ADF1473JJC005216,01163872846,BAU FRÍGORIFICO,sr/randon,171233002705/04/2024,174382200005/04/2025,VIGENTE,BMGTRA_660FF2A333EB2_
BCN8C34,97T0AN653KC005588,011693130,GRANELEIRO,LIBRELATO,172132573718/07/2024,173682360014/01/2025,VENCIDA,
BCN8C35,97T0AN653KC005587,01169320276,GRANELEIRO,SR/LIBRELATO  CACAENCR 3E,172470474526/08/2024,,,
BCO8G60,9ADF1473JKC005519,01171155104,BAU FRÍGORIFICO,SR/RANDON SR FG,172358001513/08/2024,175505400013/08/2025,VIGENTE,BMGTRA_66BBA0CB197A4_
BXG6403,9A9140A3FR1AG3042,00630921253,TANQUE,REB/BISELLI,173497175623/12/2024,175056119921/06/2025,VIGENTE,9658
