ponto,cidade,cnpj,tipo,raio
FIEL DISTRIBUIDORA DE CARNES EIRELI - FIEL,Uberlandia - MG,,CLIENTE,0
POSTO PLATINAO - CAMPO GRANDE,Campo Grande Capital - MS,,ABASTECIMENTO,0
NOGMIX DISTRIBUIDORA DE ALIMENTOS LTDA - NOGMIX,Rio de Janeiro Capital - RJ,,CLIENTE,0
FOURFRIGO INDUSTRIA E COMERCIO LTDA,Blumenau - SC,,FILIAL,0
BMG TRANSPORTES 1 IGUARACU - PR,Iguaracu - PR,,MANUTENÇÃO,0
REAL CARNES - RIO DE JANEIRO,Rio de Janeiro Capital - RJ,,CLIENTE,0
SUPERMERCADO PADRAO DO FONSECA  LTDA. RIO DE JANEIRO -RJ,Rio de Janeiro Capital - RJ,,CLIENTE,0
SUPER REAL DO EDEN LTDA - RIO DE JANEIRO,Rio de Janeiro Capital - RJ,,CLIENTE,0
BRASFRIGO S-A ITAJAI-SC,Itajai - SC,,CLIENTE,0
BMG FOODS LTDA IPORA-PR,Ipora - PR,,MATRIZ,0
FIEL DISTRIBUIDORA DE CARNES EIRELI-FIEL   UBERLANDIA-MG,Uberlandia - MG,,CLIENTE,0
CONFIACA E ALIMENTOS - UBERLANDIA-MG,Uberlandia - MG,,CLIENTE,0
NOVA UNIAO ALIMENTOS LTDA - UNIAO GUARULHOS-SP,Guarulhos - SP,,CLIENTE,0
PIRAMBU COMERCIO DE CARNES LTDA - ITABORAI,Itaborai - RJ,,CLIENTE,0
POSTO IPIRANGA - SAO PAULO,Sao Paulo - SP (Capital) - SP,,ABASTECIMENTO,0
BMG FOODS - IPORA PR,Ipora - PR,,MATRIZ,0
FRIGORIFICO PONTENOVENSE - RIBEIRAO DAS NEVES,Ribeirao das Neves - MG,,CLIENTE,0
BMG FOODS - CURITIBA-PR  02,Curitiba - PR,,FILIAL,0
BMG FOODS - PORTO ALEGRE-RS,Porto Alegre - RS,,FILIAL,0
POSTO IPIRANGA - CONTAGEM,Contagem - MG,,ABASTECIMENTO,0
GTF SERVICOS DE ARMAZENS,Barueri - SP,,CLIENTE,0
GTF SERVICOS DE ARMAZENS - BARUERI,Barueri - SP,,CLIENTE,0
OESA COMERICIO E REPRESENTACOES S-A - OESA2 - CAMPO LARGO,Campo Largo - PR,,CLIENTE,0
FRIGORIFICO VERDI LTDA - POUSO REDONDO,Pouso Redondo - SC,,CLIENTE,0
BMG FOODS  LTDA -HORIZONTE CE,Horizonte - CE,,FILIAL,0
POSTO GRAAL - 56,Jundiai - SP,,ABASTECIMENTO,0
FRIGOLOGISTICA - BARUERI,Barueri - SP,,CLIENTE,0
OESA COMERCIO E REPRESENTACOES SA - OESA3 - SAO PAULO -SP,Sao Paulo - SP,,CLIENTE,0
NOVACKI INDUSTRIAL S.A.,Jaragua do Sul - SC,,CLIENTE,0
DLA COMERCIAL DE ALIMENTOS EIRELI -DLA  - IGUATU-CE,Iguatu - CE,,CLIENTE,0
POSTO FOLENA - IBIUNA SP,Ibiuna - SP,,ABASTECIMENTO,0
POSTO CARIOCA - HORIZONTE CE,Horizonte - CE,,ABASTECIMENTO,0
PERTE DISTRIBUIDORA DE ALIMENTOS LTDA JE-PERTE - CACHOEIRINHA RS,Cachoeirinha - RS,,CLIENTE,0
PORCO FELIZ IND. E COMDE PROD. ALIMENTICIOS EIRELI -PORCOFELIZ - MAGE RJ,Mage - RJ,,CLIENTE,0
POSTO COCAMAR,Maringa - PR,,ABASTECIMENTO,0
J A COMERCIO DE GENEROS ALIMENTICIOS E SERVICOS EIRELI,Campo Limpo Paulista - SP,,CLIENTE,0
FRIPREMIU COMERCIAL DE ALIMENTOS LTDA IN FORTE,Brasilia - DF,,CLIENTE,0
BELO ALIMENTOS LTDA - BELLO12,Eldorado - MS,,CLIENTE,0
BOI VERDE - INDUSTRIA E COMERCIO DE FARINHA DE CARNE LTDA - BOIVERDE,Nova Esperanca - PR,,CLIENTE,0
FRICAL ALIMENTOS S-A - FRICAL,Caratinga - MG,,CLIENTE,0
FRIGORIFICO EL GOLLI LTDA - GOLLI,Taio - SC,,CLIENTE,0
JP COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA ME -RO-RJ,Sao Goncalo - RJ,,CLIENTE,0
BXB ALIMENTOS LTDA - BXB,Sao Paulo - SP,,CLIENTE,0
FRIGORIFICO PAVERAMA LTDA - PAVERAMA,Paverama - RS,,CLIENTE,0
INDUSTRIA E COMERCIO DE CARNES JUMIRIM -LTDA- JUMIRIM,Jumirim - SP,,CLIENTE,0
RPD CARNES LTDA - RPD,Itabira - MG,,CLIENTE,0
ESM INDUSTRIA E COMERCIO DE CARNES E DERIVADOS LTDA- AG- ESM,Marica - RJ,,CLIENTE,0
Posto Gral Trevo,Ribeirao Preto - SP,,ABASTECIMENTO,0
NOBREDO COMERCIO E LOGISTICA LTDA- NOBREDO,Sao Goncalo - RJ,,CLIENTE,0
MARFRIG GLOBAL FOODS S.A,Itupeva - SP,,CLIENTE,0
JAD ZOGHEIB E CIA LTDA-SUPCONFIA3,Bauru - SP,,CLIENTE,0
NOSTRO BEEF ALIMENTOS IMP E EXP EIRELI - NBEEF03,Sao Paulo - SP,,CLIENTE,0
CATAN COMERCIO DE CARNES LTDA - CATAN3,Sao Joao de Meriti - RJ,,CLIENTE,0
TRIO SUPERMERCADO LTDA-MA-TRIO,Bauru - SP,,CLIENTE,0
DOIS CASTRINHOS CARNES E DERIVADOS LTDA - CASTRINHOS,Rio Bonito - RJ,,CLIENTE,0
BMG FOODS IMPORTACAO E EXPORTACAO LTDA - BMG4 4,Barueri - SP,,FILIAL,0
AUTO REFRIGERACAO MARINGA - MAZINHO,Maringa - PR,,MANUTENÇÃO,0
CJK COMERCIO DE ALIMENTOS LTDA - CJK,Bariri - SP,,CLIENTE,0
Posto Buffon 88 Rod. BR 101. Km 98.5.- Bela Vista. Balneario Picarras - SC,Balneario Picarras - SC,,ABASTECIMENTO,0
SUPERMERCADO PORECATU LTDA - AD - CATU,Votuporanga - SP,,CLIENTE,0
SUPERMERCADO PORECATU LTDA - AD - CATU 2,Votuporanga - SP,,CLIENTE,0
SUPERMERCADO PORECATU LTDA - AD - CATU 5,Votuporanga - SP,,CLIENTE,0
SUPERMERCADO PORECATU LTDA - AD - CATU 6,Sao Jose do Rio Preto - SP,,CLIENTE,0
SUPERMERCADO PORECATU LTDA - AD - CATU 11,Sao Jose do Rio Preto - SP,,CLIENTE,0
SUPERMERCADO PORECATU LTDA - AD - CATU 8,Sao Jose do Rio Preto - SP,,CLIENTE,0
SUPERMERCADO PORECATU LTDA - AD - CATU 9,Sao Jose do Rio Preto - SP,,CLIENTE,0
SUPERMERCADO PORECATU LTDA - AD - CATU 10,Sao Jose do Rio Preto - SP,,CLIENTE,0
SUPERMERCADO PORECATU LTDA - AD - CATU 12,Sao Jose do Rio Preto - SP,,CLIENTE,0
QUEBRAMAR INDUSTRIA E COMERCIO DE CARNES E DERIVADOS LTDA,Sao Joao de Meriti - RJ,,CLIENTE,0
FRIGO COPA DISTRIBUIDORA DE ALIMENTOS LTDA - FRIGOCOPA,Rio de Janeiro Capital - RJ,,CLIENTE,0
